team,pitches,inplay,homerun
CIN,23124,3995,156
KC,22872,4214,138
WSH,22758,4271,136
MIL,24835,4001,219
CWS,23147,4393,149
PIT,23201,3885,158
CHC,23812,4031,159
BOS,23900,4228,155
MIA,23187,4010,144
ATL,23936,4048,243
SD,24392,4205,153
COL,23635,4261,149
TEX,23097,4080,198
SF,24342,3989,183
MIN,23946,4179,178
AZ,23541,4091,173
STL,24192,4321,197
LAA,23099,3934,190
DET,22410,4019,110
OAK,22568,3980,137
NYM,23987,4336,171
BAL,23241,4094,171
PHI,23854,4183,205
SEA,24110,4032,197
NYY,24434,4087,254
TOR,23694,4354,200
HOU,22950,4281,214
CLE,23703,4510,127
TB,23435,4055,139
LAD,25138,4208,212