pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp
22576,LAD,LAD,22576,100,0.209,0.135,0.256,0.344,0.273,0.277,0.215,1114,5336,86.8,13.9,2327,88.9,88.88,2971,11245,11331,0,6.24,110,155,119,148,298,316,292,183.5,-183.5
22724,TB,TB,22724,100,0.232,0.147,0.279,0.379,0.293,0.295,0.232,1260,5424,87.4,13.1,2243,87.7,87.7,3062,11310,11413,0,6.43,106,156,114,149,301,324,297,81.8,-81.8
22891,CLE,CLE,22891,100,0.23,0.144,0.275,0.373,0.292,0.306,0.239,1252,5447,88.5,12.6,2262,88.9,88.78,2985,11384,11505,-0.1,6.34,110,155,118,149,294,316,292,64.5,-64.5
22936,HOU,HOU,22936,100,0.212,0.12,0.269,0.332,0.273,0.284,0.219,1121,5295,87.9,12.8,2367,88.9,88.44,3133,11289,11646,-0.5,6.13,113,155,116,149,293,323,292,172,-172
23075,TOR,TOR,23075,100,0.247,0.153,0.297,0.399,0.309,0.313,0.247,1356,5493,88.6,13.1,2195,89.1,89.02,2857,11368,11706,-0.1,6.37,109,158,120,149,295,320,297,17.4,-17.4
23219,NYY,NYY,23219,100,0.219,0.136,0.269,0.355,0.283,0.29,0.227,1177,5380,87.5,12.1,2338,90.1,89.98,3133,11133,12085,-0.1,6.31,110,155,120,150,295,326,288,113.1,-113.1
23227,SEA,SEA,23227,100,0.235,0.154,0.281,0.389,0.3,0.301,0.236,1277,5429,87.9,14.3,2212,88.8,88.88,3024,11676,11551,0.1,6.43,110,152,119,146,293,322,293,77.2,-77.2
23233,PHI,PHI,23233,100,0.245,0.146,0.303,0.391,0.307,0.299,0.235,1330,5430,87.4,11.3,2178,89.7,90.18,2898,11073,12160,0.5,6.62,110,150,119,145,297,326,291,-2.7,2.7
23252,BAL,BAL,23252,100,0.256,0.151,0.297,0.407,0.317,0.318,0.252,1406,5490,88.4,11.8,2264,88.7,88.64,2650,11228,12024,-0.1,6.33,108,156,116,149,302,321,295,-10.6,10.6
23305,NYM,NYM,23305,100,0.236,0.141,0.299,0.377,0.297,0.293,0.227,1274,5408,87.7,12.6,2197,89.2,89.21,3180,11211,12093,0,6.41,111,155,118,149,299,328,300,81.1,-81.1
23324,OAK,OAK,23324,100,0.254,0.174,0.29,0.428,0.326,0.323,0.25,1394,5491,88.4,13.4,2165,88.4,88.1,2639,11139,12185,-0.3,6.12,111,152,118,148,298,320,295,-89.2,89.2
23382,DET,DET,23382,100,0.247,0.146,0.285,0.393,0.311,0.324,0.253,1336,5405,88.9,13.2,2177,89.5,89.41,2574,11190,12192,-0.1,6.27,109,155,116,147,301,329,294,-34.8,34.8
23515,LAA,LAA,23515,100,0.23,0.148,0.277,0.379,0.301,0.306,0.235,1241,5386,88,13.1,2201,88.2,87.87,3050,11343,12162,-0.3,6.16,112,152,115,151,296,322,292,29.6,-29.6
23520,STL,STL,23520,100,0.247,0.135,0.288,0.382,0.307,0.314,0.251,1335,5409,88,9.4,2266,88.1,88.11,2435,10995,12525,0,6.39,113,154,116,148,299,321,299,28.9,-28.9
23569,AZ,AZ,23569,100,0.247,0.167,0.283,0.414,0.318,0.322,0.249,1345,5445,88.1,14,2215,88.2,87.91,2557,11187,12375,-0.3,6.26,110,152,121,148,300,322,296,-57.1,57.1
23611,MIN,MIN,23611,100,0.242,0.158,0.286,0.4,0.309,0.309,0.24,1320,5458,88.3,14,2255,87.8,87.71,2912,11576,12035,-0.1,6.21,110,156,118,149,297,329,291,3.1,-3.1
23628,SF,SF,23628,100,0.253,0.136,0.312,0.39,0.308,0.296,0.239,1397,5517,87.8,9,2167,88.6,88.61,2899,11324,12304,0,6.28,110,152,116,148,298,323,294,-0.3,0.3
23658,TEX,TEX,23658,100,0.247,0.151,0.293,0.397,0.318,0.316,0.244,1345,5452,88.2,10.5,2196,89,88.91,2752,11051,12606,-0.1,6.3,112,153,118,148,299,321,295,-38.9,38.9
23720,COL,COL,23720,100,0.272,0.174,0.313,0.446,0.341,0.33,0.26,1516,5569,89.1,11.1,2283,89.7,89.69,2518,11167,12549,0,6.13,111,151,119,148,304,329,301,-172.8,172.8
23762,SD,SD,23762,100,0.232,0.145,0.283,0.377,0.299,0.3,0.231,1263,5433,88.1,13.8,2288,88.8,89.15,2988,11386,12373,0.4,6.57,112,159,119,150,297,320,299,48.6,-48.6
23841,ATL,ATL,23841,100,0.226,0.128,0.286,0.354,0.288,0.291,0.225,1224,5413,87.7,12.1,2284,89.2,89.37,3268,11606,12235,0.2,6.4,112,152,122,148,305,324,299,116.8,-116.8
23864,MIA,MIA,23864,100,0.242,0.164,0.296,0.406,0.315,0.307,0.237,1311,5423,87.7,10.5,2208,89.8,89.64,3145,11589,12274,-0.2,6.33,108,153,118,150,298,316,292,-0.6,0.6
23905,BOS,BOS,23905,100,0.256,0.163,0.304,0.419,0.325,0.321,0.246,1411,5517,88.8,12,2216,88.6,88.74,2812,11378,12526,0.1,6.44,110,156,117,150,291,327,295,-86.9,86.9
24162,CHC,CHC,24162,100,0.244,0.17,0.287,0.414,0.32,0.318,0.244,1342,5506,87.9,12.4,2255,88,86.51,2833,11282,12880,-1.5,6.2,108,152,117,153,299,321,293,-43.6,43.6
24246,PIT,PIT,24246,100,0.258,0.152,0.305,0.411,0.328,0.328,0.255,1431,5539,88.3,11.8,2276,88.5,88.47,2743,11265,12979,0,6.29,107,151,116,149,303,323,298,-133.3,133.3
24317,CWS,CWS,24317,100,0.242,0.145,0.296,0.387,0.307,0.301,0.233,1330,5498,88.2,13.2,2291,89.5,89.46,3121,11590,12725,0,6.26,109,151,112,148,297,325,297,-2.2,2.2
24369,MIL,MIL,24369,100,0.229,0.159,0.281,0.388,0.303,0.298,0.226,1238,5406,87.2,11.5,2267,89.2,89.29,3075,11067,13302,0.1,6.38,110,152,119,146,296,318,296,31.1,-31.1
24394,WSH,WSH,24394,100,0.266,0.186,0.298,0.452,0.344,0.334,0.254,1469,5522,88.7,13.6,2172,88.8,88.97,2591,11392,13000,0.2,6.45,112,154,122,146,300,318,297,-162.3,162.3
24447,KC,KC,24447,100,0.271,0.153,0.314,0.425,0.337,0.333,0.26,1493,5505,88.8,11.1,2250,88.7,88.66,2668,11373,13074,0,6.36,108,155,117,148,301,324,301,-134.9,134.9
24868,CIN,CIN,24868,100,0.251,0.178,0.299,0.429,0.335,0.315,0.233,1366,5439,88.3,14,2313,90,88.77,2996,11492,13376,-1.2,6.21,113,151,120,146,292,319,290,-139.6,139.6